Name	DescZh	Desc	Types
deepseek-llm	使用 2 万亿个双语令牌制作的高级语言模型。	An advanced language model crafted with 2 trillion bilingual tokens.	
llama-pro	Llama 2 的扩展，专门整合一般语言理解和特定领域的知识，特别是在编程和数学方面。	"An expansion of Llama 2 that specializes in integrating both general language understanding and domain-specific knowledge, particularly in programming and mathematics."	
open-orca-platypus2	Open Orca OpenChat 模型和 Garage-bAInd Platypus 2 模型的合并。专为聊天和代码生成而设计。	Merge of the Open Orca OpenChat model and the Garage-bAInd Platypus 2 model. Designed for chat and code generation.	"13b,13b-q4_0"
codebooga	通过合并两个现有代码模型创建的高性能代码指令模型。	A high-performing code instruct model created by merging two existing code models.	
mistrallite	MistralLite 是基于 Mistral 的微调模型，具有增强的处理长上下文的能力。	MistralLite is a fine-tuned model based on Mistral with enhanced capabilities of processing long contexts.	
nexusraven	Nexus Raven 是用于函数调用任务的 13B 指令调优模型。	Nexus Raven is a 13B instruction tuned model for function calling tasks.	
nomic-embed-text	具有大型令牌上下文窗口的高性能开放式嵌入模型。	A high-performing open embedding model with a large token context window.	
goliath	通过将两个经过微调的 Llama 2 70B 模型组合成一个而创建的语言模型。	A language model created by combining two fine-tuned Llama 2 70B models into one.	
notux	性能最佳的专家模型组合，使用高质量数据进行微调。	"A top-performing mixture of experts model, fine-tuned with high-quality data."	
alfred	一个强大的对话模型，旨在用于聊天和指导用例。	A robust conversational model designed to be used for both chat and instruct use cases.	
megadolphin	MegaDolphin-2.2-120b 是 Dolphin-2.2-70b 的转换，通过将模型与自身交错而创建。	MegaDolphin-2.2-120b is a transformation of Dolphin-2.2-70b created by interleaving the model with itself.	
xwinlm	基于 Llama 2 的对话模型，在各种基准测试中都具有竞争力。	Conversational model based on Llama 2 that performs competitively on various benchmarks.	
wizardlm	通用基于Llama 2的700亿参数模型。	General use 70 billion parameter model based on Llama 2.	
notus	一个7B聊天模型，使用高质量数据进行微调，并基于Zephyr。	A 7B chat model fine-tuned with high-quality data and based on Zephyr.	
duckdb-nsql	由 MotherDuck 和 Numbers Station 制作的 7B 参数文本到 SQL 模型。	7B parameter text-to-SQL model made by MotherDuck and Numbers Station.	
all-minilm	在非常大的句子级数据集上嵌入模型。	Embedding models on very large sentence level datasets.	
starcoder2	StarCoder2 是下一代经过透明训练的开放代码 LLM，有三种大小：3B、7B 和 15B 参数。	"StarCoder2 is the next generation of transparently trained open code LLMs that comes in three sizes: 3B, 7B and 15B parameters."	"3b,7b,15b"
